sentence,type
"Je veux refaire ma carte d'identité","carte_identite"
"Comment renouveler ma carte d'identité ?","carte_identite"
"J'ai perdu ma carte d'identité","carte_identite"
"Je dois faire une photo pour ma carte d'identité","carte_identite"
"Où prendre rendez-vous pour une carte d’identité ?","carte_identite"

"Je veux demander un passeport","passeport"
"Comment renouveler mon passeport ?","passeport"
"J'ai perdu mon passeport","passeport"
"Quels documents pour un passeport ?","passeport"
"Je veux un passeport en urgence","passeport"

"Comment refaire mon permis de conduire ?","permis_conduire"
"Je veux consulter mes points de permis","permis_conduire"
"J'ai perdu mon permis","permis_conduire"
"Comment convertir un permis étranger ?","permis_conduire"
"Je veux faire un duplicata de permis","permis_conduire"

"Je dois changer l'adresse sur ma carte grise","carte_grise"
"Comment immatriculer un véhicule ?","carte_grise"
"Je veux déclarer la cession de mon véhicule","carte_grise"
"J'ai perdu ma carte grise","carte_grise"
"Quels documents pour une carte grise ?","carte_grise"

"Je veux un acte de naissance","etat_civil"
"Comment obtenir un acte de mariage ?","etat_civil"
"Je veux un acte de décès","etat_civil"
"Où demander un acte d’état civil ?","etat_civil"
"Acte de naissance en ligne, comment faire ?","etat_civil"

"Je veux payer une amende","amende"
"Comment contester une amende ?","amende"
"Mon amende est majorée, que faire ?","amende"
"Je n’arrive pas à payer mon amende","amende"
"Je veux vérifier une amende","amende"

"Comment déclarer mes impôts ?","impots"
"Je veux obtenir mon avis d’imposition","impots"
"J'ai perdu mon numéro fiscal","impots"
"Comment payer mes impôts en ligne ?","impots"
"Je veux modifier ma déclaration","impots"

"Je veux refaire ma carte Vitale","sante"
"Comment obtenir une attestation de droits ?","sante"
"Je veux changer de médecin traitant","sante"
"Je veux télécharger ma carte Vitale dématérialisée","sante"
"J’ai perdu ma carte Vitale","sante"

"Je veux faire une demande d’APL","allocations"
"Comment déclarer un changement de situation à la CAF ?","allocations"
"Je veux demander le RSA","allocations"
"Comment envoyer mes justificatifs à la CAF ?","allocations"
"Où suivre ma demande CAF ?","allocations"

"Je veux prendre rendez-vous à la préfecture","rendez_vous_prefecture"
"Comment prendre un rendez-vous pour un titre de séjour ?","rendez_vous_prefecture"
"La préfecture n’a plus de créneaux disponibles","rendez_vous_prefecture"
"Je veux un rendez-vous pour la naturalisation","rendez_vous_prefecture"
"Où prendre un rendez-vous pour déposer un dossier ?","rendez_vous_prefecture"
